Vessel,In Voyage,Out Voyage,Abbr Vessel,Abbr In Voyage,Abbr Out Voyage,Line,Alliance,PSA Service,Customer Service,Vessel Operator,Vessel Status,Shift Sequence No,Terminal,Berth,Crane,Ship Side Planned ,Berth Time,Unberth Time,Completion of Discharge,Vessel Operator Remarks
NYK CLARA,422W,422W,NYK CLARA,422W,422W,ONE,-,EA3,EA4,ONE,Closed,1,PASIR PANJANG TERMINAL 3,P20,"524,",Starboard Side,15/6/2024 23:40,16/6/2024 11:00,16/6/2024 4:20,-
BATAMINDO III,93587S,93587S,BSW 3,93587S,93587S,BSW,-,BCL,BATAM 2,BAT,Closed,1,KEPPEL TERMINAL,K13,"309,",Port Side,15/6/2024 23:30,16/6/2024 1:05,16/6/2024 1:05,-
ALS KRONOS,421S,421S,ALS KRONOS,421S,421S,MAE,-,IA8,IA8,MSL,Alongside,1,TUAS F2 TERMINAL 1,T204,"2204,",Port Side,15/6/2024 23:15,16/6/2024 14:40,-,-
ALS KRONOS,421S,421S,ALS KRONOS,421S,421S,MAE,-,IA8,IA8,MSL,Alongside,2,PASIR PANJANG TERMINAL 2,P11,"318,",Starboard Side,18/6/2024 8:30,18/6/2024 23:00,-,-
GREEN WAVE,001S,001S,GREENWAVE,001S,001S,HLC,-,OTH,VIS-GWV,HLC,Closed,1,PASIR PANJANG TERMINAL 2,P26,"614,",Port Side,15/6/2024 21:15,16/6/2024 14:35,16/6/2024 12:14,-
MSC FORTUNE F,SB423R,SB423R,MSC FORTUNE,SB423R,SB423R,MSD,-,BUR,BUR,MSC,Closed,1,TUAS F2 TERMINAL 1,T209,"2226,",Port Side,15/6/2024 20:50,16/6/2024 11:20,16/6/2024 9:03,-
UNI ACTIVE,0322-771S,0323-772N,UNI ACTIVE,2-771S,3-772N,EMC,-,SY1,SY1,RTW,Closed,1,PASIR PANJANG TERMINAL 5-6,P32,"810,",Starboard Side,15/6/2024 20:40,16/6/2024 9:50,16/6/2024 5:51,-
SINGAPORE,180S,180S,SINGAPOR,180S,180S,OOC,-,AWX,AWX,OCL,Closed,1,PASIR PANJANG TERMINAL 5-6,P31,"805,",Starboard Side,15/6/2024 20:30,16/6/2024 20:25,16/6/2024 12:29,-
SINAR SORONG,0224S,0225N,SINAR SORON,0224S,0225N,SUD,-,CES,CES,SUD,Closed,1,PASIR PANJANG TERMINAL 4,P27,"701,",Starboard Side,15/6/2024 20:05,17/6/2024 15:40,17/6/2024 10:52,-
SINAR BAJO,029S,030N,SINAR BAJO,029S,030N,SUD,-,SMM,SMM,SUD,Closed,1,PASIR PANJANG TERMINAL 1,P03,"109,",Port Side,15/6/2024 19:30,16/6/2024 20:10,16/6/2024 14:37,-
CSCL LONG BEACH,054W,055E,CSCL BEACH,054W,055E,COS,-,PX2,PEX2,CSP,Closed,1,PASIR PANJANG TERMINAL 5-6,P33,"813,",Starboard Side,15/6/2024 19:15,16/6/2024 20:10,16/6/2024 14:49,-
MARCOPOLO 352,BS017,BS017,MARCOPOLO 35,BS017,BS017,ELS,-,ELS,BUN,ELE,Departed,1,KEPPEL TERMINAL,K14,"309,",Starboard Side,15/6/2024 17:50,16/6/2024 2:30,-,-
MARCOPOLO 352,BS017,BS017,MARCOPOLO 35,BS017,BS017,ELS,-,ELS,BUN,ELE,Departed,2,KEPPEL TERMINAL,K14,"309,",Starboard Side,16/6/2024 2:30,16/6/2024 8:30,-,-
MARCOPOLO 352,BS017,BS017,MARCOPOLO 35,BS017,BS017,ELS,-,ELS,BUN,ELE,Departed,3,KEPPEL TERMINAL,K14,"309,",Starboard Side,16/6/2024 8:31,17/6/2024 0:55,-,-
MARCOPOLO 352,BS017,BS017,MARCOPOLO 35,BS017,BS017,ELS,-,ELS,BUN,ELE,Departed,4,KEPPEL TERMINAL,K14,"309,",Starboard Side,17/6/2024 0:55,17/6/2024 19:50,-,-
CMA CGM LA SCALA,0XR5LE1MA,0XR5LE1MA,CMA LA SCALA,5LE1MA,5LE1MA,CMA,-,CBX,CBX,CCA,Closed,1,PASIR PANJANG TERMINAL 5-6,P41,"921,",Port Side,15/6/2024 17:40,16/6/2024 13:35,16/6/2024 7:00,-
APL JEDDAH,0IZHAN1NC,0IZHAN1NC,APL JEDDAH,HAN1NC,HAN1NC,CNC,-,JSX,JSX,APL,Closed,1,PASIR PANJANG TERMINAL 5-6,P35,"881,",Starboard Side,15/6/2024 16:45,16/6/2024 14:45,16/6/2024 11:33,-
ONE MUNCHEN,038W,038W,ONE MUNCHEN,038W,038W,ONE,THE,MD1,MD1,ONE,Closed,1,PASIR PANJANG TERMINAL 2,P24,"606,",Port Side,15/6/2024 15:55,16/6/2024 21:45,16/6/2024 18:21,-
BARZAN,024E,024E,BARZAN,024E,024E,HLC,THE,FE2,FE2,HLC,Closed,1,PASIR PANJANG TERMINAL 4,P28,"702,",Starboard Side,15/6/2024 15:50,17/6/2024 5:55,17/6/2024 3:47,-
APL FLORIDA,0PGI9E1MA,0PGI9E1MA,APL FLORIDA,I9E1MA,I9E1MA,CMA,OA,AW6,AWE6,CCA,Closed,1,PASIR PANJANG TERMINAL 5-6,P38,"902,",Port Side,15/6/2024 15:25,16/6/2024 20:50,16/6/2024 14:19,-
CMA CGM KRUGER,0XL5TS1NC,0XL5TS1NC,CMA KRUGER,5TS1NC,5TS1NC,CNC,-,KCS,KCS,APL,Closed,1,PASIR PANJANG TERMINAL 5-6,P40,"914,",Port Side,15/6/2024 14:25,16/6/2024 5:45,16/6/2024 1:22,-
CAPRICORN 51,PB410,PG410,CAPRICORN 51,PB410,PG410,XSN,-,SBM,SBM,STP,Closed,1,KEPPEL TERMINAL,K13,"309,",Port Side,15/6/2024 14:10,16/6/2024 3:00,15/6/2024 22:14,-
KOTA CEPAT,0063W,0063W,KOTA CEPAT,0063W,0063W,PIL,-,RS2,RSS2,PIL,Closed,1,BRANI TERMINAL,B07,"907,",Port Side,15/6/2024 13:20,16/6/2024 4:55,16/6/2024 3:53,-
LL 2523,39 JN,39 JN,LL 2523,39 JN,39 JN,PSN,-,PNK,IDPNK,SDO,Closed,1,BRANI TERMINAL,B08,"913,",Port Side,15/6/2024 13:20,16/6/2024 2:30,15/6/2024 20:21,-
SAN LORENZO,260N,260N,SAN LORENZO,260N,260N,OOC,-,VTS,VTS,OCL,Closed,1,PASIR PANJANG TERMINAL 5-6,P34,"817,",Port Side,15/6/2024 12:30,16/6/2024 14:20,16/6/2024 10:27,-
COSCO ROTTERDAM,191N,191N,COS ROTTERDA,191N,191N,COS,-,AA2,AAA2,CSP,Closed,1,PASIR PANJANG TERMINAL 5-6,P31,"803,",Starboard Side,15/6/2024 12:15,16/6/2024 15:35,-,-
COSCO ROTTERDAM,191N,191N,COS ROTTERDA,191N,191N,COS,-,AA2,AAA2,CSP,Closed,2,BRANI TERMINAL,B05,"808,",Port Side,16/6/2024 18:35,17/6/2024 6:15,17/6/2024 5:10,-
LINAU 135,35048W,35049,LINAU 135,35048W,35049,COS,-,KBS,KBS,CSP,Closed,1,KEPPEL TERMINAL,K13,"310,",Port Side,15/6/2024 11:25,16/6/2024 3:00,-,-
LINAU 135,35048W,35049,LINAU 135,35048W,35049,COS,-,KBS,KBS,CSP,Closed,2,BRANI TERMINAL,B03,-,Port Side,16/6/2024 3:30,16/6/2024 14:15,-,-
LINAU 135,35048W,35049,LINAU 135,35048W,35049,COS,-,KBS,KBS,CSP,Closed,3,BRANI TERMINAL,B03,"708,",Port Side,16/6/2024 14:16,17/6/2024 3:25,17/6/2024 2:21,-
BATAMINDO III,93586N,93586N,BSW 3,93586N,93586N,BSW,-,BCL,BATAM 2,BAT,Closed,1,KEPPEL TERMINAL,K13,"310,",Port Side,15/6/2024 10:10,15/6/2024 14:25,15/6/2024 14:13,-
MSC IDA II,HZ423R,HZ423R,MSC IDA II,HZ423R,HZ423R,MSD,-,LCE,LCE,MSC,Closed,1,TUAS F2 TERMINAL 1,T203,"2201,",Port Side,15/6/2024 9:55,16/6/2024 12:10,16/6/2024 9:00,-
MARCO POLO 268,OS078,SO078,MARCOPOLO268,OS078,SO078,ELS,-,PWG,PWG1,ELE,Closed,1,PASIR PANJANG TERMINAL 1,P02,"109,",Port Side,15/6/2024 9:40,15/6/2024 21:30,-,-
MARCO POLO 268,OS078,SO078,MARCOPOLO268,OS078,SO078,ELS,-,PWG,PWG1,ELE,Closed,2,PASIR PANJANG TERMINAL 1,P02,"109,",Port Side,15/6/2024 21:30,16/6/2024 6:40,16/6/2024 6:40,-
MARCO POLO 118,PS495,PS495,MARCO P 118,PS495,PS495,ELS,-,PWG,PWG1,ELE,Closed,1,PASIR PANJANG TERMINAL 1,P01,"104,",Port Side,15/6/2024 9:30,16/6/2024 7:05,15/6/2024 18:40,-
CAT LAI EXPRESS,059N,059N,CAT LAI E,059N,059N,HLC,-,VIS,VIS,HLC,Closed,1,PASIR PANJANG TERMINAL 2,P09,"311,",Starboard Side,15/6/2024 8:25,16/6/2024 13:45,16/6/2024 9:02,-
HR BALU,0029S,0029N,HR BALU,0029S,0029N,HRL,-,BEX,BES,HRL,Closed,1,KEPPEL TERMINAL,K16,-,Starboard Side,15/6/2024 8:20,16/6/2024 13:30,-,-
HR BALU,0029S,0029N,HR BALU,0029S,0029N,HRL,-,BEX,BES,HRL,Closed,2,PASIR PANJANG TERMINAL 5-6,P35,"884,",Port Side,16/6/2024 16:25,17/6/2024 10:00,17/6/2024 3:00,-
